Fecha de Registro,Empresa,Puesto,Salario,Ubicacion,Enlace Vacante,Contacto,Match %,Estado Postulacion
2026-05-21T15:26:31.847Z,"Canva","Senior Product Designer (UX/UI)","55,000$ - 70,000$","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","design-careers@canva.com",80%,Found
2026-05-21T15:26:42.258Z,"Inditex Tech","Diseñador de Experiencia de Usuario UX","45,000€ - 52,000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped2","techjobs@inditex.com",65%,Found
2026-05-21T15:26:52.669Z,"Stripe","Lead Product Designer","85,000$ - 110,000$","Remoto","https://www.linkedin.com/jobs/view/scraped4","stripe-careers-design@stripe.com",65%,Found
2026-05-21T16:10:35.955Z,"Canva","Senior Product Designer (UX/UI)","55,000$ - 70,000$","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","design-careers@canva.com",80%,Found
2026-05-21T16:10:46.513Z,"Inditex Tech","Diseñador de Experiencia de Usuario UX","45,000€ - 52,000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped2","techjobs@inditex.com",65%,Found
2026-05-21T16:10:57.089Z,"Stripe","Lead Product Designer","85,000$ - 110,000$","Remoto","https://www.linkedin.com/jobs/view/scraped4","stripe-careers-design@stripe.com",65%,Found
2026-05-21T16:19:20.753Z,"Canva","Senior Product Designer (UX/UI)","55,000$ - 70,000$","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","design-careers@canva.com",80%,Found
2026-05-21T16:19:31.427Z,"Inditex Tech","Diseñador de Experiencia de Usuario UX","45,000€ - 52,000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped2","techjobs@inditex.com",65%,Found
2026-05-21T16:19:42.122Z,"Stripe","Lead Product Designer","85,000$ - 110,000$","Remoto","https://www.linkedin.com/jobs/view/scraped4","stripe-careers-design@stripe.com",65%,Found
2026-05-21T16:23:36.570Z,"Lumina AI","UX Designer Senior Specialist","53.000€ - 69.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:23:41.944Z,"TechNova Solutions","Diseñador UX Project Leader / Manager","42.000€ - 60.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:23:47.295Z,"DigitalFlow Apps","Product Designer Full Stack Developer","38.000€ - 48.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:23:52.652Z,"Inditex Tech","Diseñador de Producto Specialist","54.000€ - 70.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:23:58.161Z,"TinyStudio Ltd","Angular Senior Specialist","41.000€ - 53.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:26:15.610Z,"Lumina AI","UX Designer Senior Specialist","38.000€ - 48.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:26:21.050Z,"TechNova Solutions","Diseñador UX Project Leader / Manager","47.000€ - 66.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:26:26.434Z,"DigitalFlow Apps","Product Designer Full Stack Developer","37.000€ - 58.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:26:31.833Z,"Inditex Tech","Diseñador de Producto Specialist","36.000€ - 47.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:26:37.291Z,"TinyStudio Ltd","Angular Senior Specialist","36.000€ - 48.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:30:58.434Z,"Lumina AI","Product Designer Senior Specialist","41.000€ - 62.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:31:03.811Z,"TechNova Solutions","Angular Project Leader / Manager","45.000€ - 59.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:31:09.185Z,"DigitalFlow Apps","Java Full Stack Developer","52.000€ - 74.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:31:14.559Z,"Inditex Tech","Scrum Specialist","52.000€ - 67.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
2026-05-21T16:31:19.929Z,"TinyStudio Ltd","Jira Senior Specialist","47.000€ - 66.000€","Híbrido (Madrid)","https://www.indeed.com/viewjob/scraped4","hr@tinystudioltd.com",75%,Found
2026-05-21T16:32:37.600Z,"Lumina AI","Product Designer Senior Specialist","39.000€ - 62.000€","Remoto (España)","https://www.linkedin.com/jobs/view/scraped0","careers@luminaai.com",75%,Found
2026-05-21T16:32:42.981Z,"TechNova Solutions","Angular Project Leader / Manager","45.000€ - 65.000€","Madrid / Remoto","https://www.indeed.com/viewjob/scraped1","jobs@technovasolutions.com",65%,Found
2026-05-21T16:32:48.338Z,"DigitalFlow Apps","Java Full Stack Developer","39.000€ - 62.000€","Barcelona / Remoto","https://www.indeed.com/viewjob/scraped2","recruit@digitalflowapps.com",65%,Found
2026-05-21T16:32:53.722Z,"Inditex Tech","Scrum Specialist","48.000€ - 68.000€","Remoto","https://www.linkedin.com/jobs/view/scraped3","talent@inditextech.com",65%,Found
